Country,Surface..km2,Population,Average.Height.Male..cm.,Average.Height.Female..cm.,Sex ratio (m per 100f),International trade: Export..mln USD,International trade: Import..mln USD,GDP per capita (current US$)
Afghanistan,652864,38928346,168.5,156.11,106.3,1458,1458,623.2
Albania,28748,2877797,174.07,162.23,101.9,1962,1962,3984.2
Algeria,2381741,43851044,175.04,162.35,102.0,29992,29992,4154.1
American Samoa,199,55191,177.09,167.55,103.6,-99,-99,2134.7
Andorra,468,97929,178.84,165.53,102.3,100,100,39896.4
Angola,1246700,32866272,168.46,158.1,96.2,21011,21011,4714.1
Antigua and Barbuda,442,77265,178.84,165.72,92.3,61,61,14764.5
Argentina,2780400,45195774,174.76,161.22,95.9,57733,57733,14564.5
Armenia,29743,2963243,173.67,159.85,88.8,1776,1776,3489.1
Australia,7692060,25499884,178.77,164.67,99.3,189630,189630,51352.2
Austria,83871,9006398,178.52,166.93,96.2,145503,145503,44117.7
Azerbaijan,86600,10139177,174.0,161.37,99.3,9143,9143,5438.7
Bahamas,13940,393244,174.4,163.46,95.9,365,365,22817.2
Bahrain,771,1701575,172.76,158.29,168.3,12892,12892,22600.2
Bangladesh,147570,164689383,165.08,152.38,101.7,36031,36031,1207.9
Barbados,431,287375,177.03,165.66,91.9,517,517,15429.4
Belarus,207600,9449323,178.69,166.93,87.0,23414,23414,5750.8
Belgium,30528,11589623,179.09,163.4,97.3,398033,398033,40277.8
Belize,22966,397628,170.52,158.12,99.2,246,246,4789.4
Benin,114763,12123200,168.44,158.4,99.5,410,410,779.1
Bermuda,53,62278,179.72,166.11,91.4,8,8,94399.9
Bhutan,38394,771608,167.05,155.15,113.1,616,616,2677.1
Bosnia and Herzegovina,51209,3280819,182.47,167.47,96.4,5327,5327,4265.0
Botswana,582000,2351627,173.16,162.06,97.7,7321,7321,6360.6
Brazil,8515767,212559417,175.73,162.41,96.6,185235,185235,8528.3
Bulgaria,111002,6948445,174.17,164.58,94.6,26088,26088,6846.8
Burkina Faso,272967,20903273,171.89,161.33,99.5,2019,2019,611.1
Burundi,27830,11890784,167.34,155.08,96.9,123,123,244.6
Cambodia,181035,16718965,165.35,154.75,95.3,13204,13204,1158.7
Cameroon,475650,26545863,172.13,160.41,100.2,2130,2130,1217.3
Canada,9984670,37742154,178.75,164.73,98.5,388911,388911,43205.6
Central African Republic,622984,4829767,169.01,159.65,97.3,213,213,333.2
Chad,1284000,16425864,171.84,162.12,100.2,1990,1990,713.0
Chile,756102,19116201,172.88,159.42,98.2,59884,59884,13416.2
China,9600000,1439323776,175.66,163.46,106.3,2118981,2118981,8109.1
Colombia,1141748,50882891,171.85,157.96,96.8,31045,31045,6056.1
Comoros,2235,869601,167.72,156.54,101.8,20,20,1368.9
Cook Islands,236,280908,178.32,167.31,97.4,14,14,14118.7
Costa Rica,51100,5094118,174.04,160.36,100.1,9908,9908,11015.0
Croatia,56594,4105267,180.76,166.8,93.1,13648,13648,11479.4
Cuba,109884,11326616,173.56,160.13,100.1,18000,18000,7656.6
Cyprus,9251,1207359,172.75,160.55,100.2,1920,1920,21941.9
Denmark,42921,5792202,181.89,169.47,99.0,94355,94355,53149.3
Djibouti,23200,988,170.77,159.82,100.7,134,134,1956.3
